,corr_dist,corr_pearson,corr_reldist,corr_spearman,exp,mean_dist,mean_mindist,mean_pearson,mean_reldist,mean_slopedist,mean_slopedistT,mean_spearman
1170,1.2506062544,0.9358194354,0.8698062379,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1171,1.2506062544,0.9358194354,0.8671866650000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1172,1.2506062544,0.9358194354,0.8699547712,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1173,1.2506062544,0.9358194354,0.8654945139,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1174,1.2506062544,0.9358194354,0.8745199014,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1175,1.2506062544,0.9358194354,0.8719206226,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1176,1.2506062544,0.9358194354,0.8602678717000001,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1177,1.2506062544,0.9358194354,0.8584141729,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1178,1.2506062544,0.9358194354,0.8660734611,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1179,1.2506062544,0.9358194354,0.8600866443,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
118,2.44438289,0.9269241426,0.0708528838,0.3828105634,biocon,3.197841274,0.3881784806,0.8424229752,0.3881784806,0.44801470320000003,0.7568614956,0.9494651324000001
1180,1.2506062544,0.9358194354,0.8695722362,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1181,1.2506062544,0.9358194354,0.8699784465,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
1182,1.2506062544,0.9358194354,0.8659544213,0.9258696246,simugaussS25,0.1148731155,0.6684391893,0.9688507219,0.6684391893,0.9779221491000001,0.9306495808,0.9436727815
