,replica,i,j,beta_ij,E[beta_ij],A[beta_ij]
1915,34,1,5,0.3296116672451354,0.29183405273937046,0.36106689556171573
108,1,7,3,0.3302935189152413,0.29187527438334415,0.3126223398888337
5619,100,2,6,0.33031664236511854,0.2918868220557064,0.366665528444752
84,1,4,0,0.33031664236511854,0.2919074104308807,0.3225203547215197
3357,59,7,4,0.33057512592935395,0.29190960023471724,0.38353513468882905
2482,44,2,5,0.33057512592935395,0.29193084163273675,0.334901487175545
8387,149,6,1,0.33046081735637317,0.2919499448099432,0.2939533776830797
5569,99,3,5,0.3305058032838785,0.2919717740456465,0.29886926863947216
4473,79,7,0,0.3305058032838785,0.29197234563692054,0.5904786164229148
3208,57,2,3,0.33048499149336735,0.29200091344096213,0.4451191079645826
51,0,7,2,0.3307580982860565,0.29206852393963767,0.5495974698297997
3314,59,1,4,0.3307580982860565,0.29207034733968285,0.17352615268598867
6796,121,2,7,0.3307580982860565,0.292073641883081,0.44185479559455315
2977,53,1,3,0.3307580982860565,0.2920829450416193,0.1568671585299189
4799,85,5,4,0.3307580982860565,0.292088590829154,0.41432896339347586
455,8,1,0,0.33076591335652006,0.2920985247919801,0.17182889882840122
184,3,2,3,0.33076591335652006,0.29210125925010116,0.3048780912808308
4784,85,3,4,0.33076591335652006,0.2921113882824062,0.45047127044569163
2467,44,0,4,0.3309832233244451,0.29214227876236987,0.0817086922832405
2461,43,7,4,0.3309832233244451,0.29216643105499956,0.4967065195707383
7795,139,1,5,0.33056259446664216,0.2921871110609635,0.3377837217518652
3454,61,5,3,0.3307794840949073,0.29224656117938796,0.2902469086080874
16,0,2,3,0.33049553560307815,0.2922860454499379,0.2983886147262841
4442,79,2,5,0.33049553560307815,0.2922893537791833,0.32356616444132874
4911,87,5,4,0.3304791957390332,0.2923390816434841,0.3297228665278893
5450,97,2,5,0.3304791957390332,0.29234394566622696,0.38376925862153827
5171,92,2,6,0.3310762887326213,0.2923766806660744,0.5293093653694869
2979,53,1,5,0.3310762887326213,0.2923803296380047,0.37474589576351575
4571,81,5,0,0.3310762887326213,0.2923893610627848,0.38897122901573183
50,0,7,1,0.3310762887326213,0.2923949670089135,0.447378911536249
6099,108,7,2,0.3311100635141436,0.2924951710115541,0.3711989931981357
4336,77,3,4,0.3311100635141436,0.29251783488949606,0.410477262723838
4365,77,7,4,0.3310059666268118,0.2925346693663215,0.7676484393417016
287,5,1,0,0.3310059666268118,0.29255456762949394,0.3073291874711273
4925,87,7,4,0.33144852543973985,0.29257448438818967,0.5819701520151223
4763,85,0,4,0.33144852543973985,0.2925971745067874,-0.02477660893104576
6563,117,1,5,0.3314143919909605,0.2927340194620289,0.1555730101426135
1890,33,6,0,0.33137105278921813,0.2927413726494541,0.36329340401542703
3655,65,2,1,0.33129085030780625,0.2927570334532308,0.30282411270509296
4045,72,1,7,0.33129085030780625,0.2927648816964672,0.5010564864676103
6216,111,0,1,0.3319878443292411,0.2928604050686037,0.33448621831329417
1733,30,7,4,0.3317619361759175,0.2929075384790177,0.7146944076505781
2457,43,7,0,0.3317603738174603,0.2929317576798219,0.37020735734093585
1862,33,2,0,0.33205692758740435,0.2929782390616198,0.27899854126016127
3318,59,2,0,0.33186642583700715,0.29301358993699006,0.21767259446521256
4896,87,3,4,0.332417306622201,0.293039574269169,0.3612736640147136
535,9,4,3,0.33243622829959163,0.2930913452833229,0.3921110953047218
1183,21,1,0,0.3329205584641742,0.29310581761156645,0.21058107607193238
4351,77,5,4,0.33263261164818586,0.29314371558750685,0.43212060239132055
2480,44,2,3,0.3324466050267154,0.2931669763820499,0.3378776450136071
8165,145,6,3,0.3322214847199627,0.2932079914871851,0.42638092723882864
2339,41,6,1,0.3322214847199627,0.29322284970775453,0.4123703510017273
1803,32,1,5,0.3321801210129439,0.29331018533121517,0.3172592173317809
4809,85,7,0,0.3321753017498523,0.2933401466263045,0.3564067697614418
2590,46,2,0,0.3321753017498523,0.29335231559964053,0.26517334581011615
1719,30,5,4,0.33178438695669593,0.2933784271920962,0.4512986946044172
9,0,1,3,0.33178438695669593,0.2933888735501017,0.13372082827729986
8215,146,5,4,0.33178438695669593,0.29339429099243297,0.24049503659000818
8200,146,3,4,0.33178438695669593,0.293397328909216,0.3295739702267348
1218,21,6,0,0.33178438695669593,0.29340879068294223,0.3419945896319485
4875,87,0,4,0.33178438695669593,0.29343647283738283,0.013034683146644716
1128,20,1,2,0.33178438695669593,0.2934404276802498,0.1007161460849661
7960,142,1,2,0.3320609779792818,0.2934659520930776,0.19750311881018665
2432,43,3,4,0.3321625579793318,0.2935106992922645,0.46457811593250814
164,2,7,3,0.33253906714889686,0.2935602191236914,0.4758157866921008
1659,29,5,0,0.33253906714889686,0.2935637628722935,0.37730421263033476
2447,43,5,4,0.33255965035105967,0.2935796960886949,0.4499657191837557
1704,30,3,4,0.33255965035105967,0.29358601327357814,0.480628753115278
2485,44,3,0,0.3323981236425302,0.29359239590172426,0.34418312706695364
907,16,1,5,0.33257781878878623,0.2936104161011095,0.19839597349598836
4608,82,2,3,0.33257781878878623,0.2936125759502461,0.48554287470797397
5889,105,1,3,0.33281844082039946,0.29368402240097524,0.11633532600156449
5333,95,1,7,0.33281844082039946,0.2936927327004544,0.5300032341072675
1645,29,3,0,0.33240872807118443,0.2938525967406897,0.40421556907258793
110,1,7,5,0.332399231469733,0.2938606138795269,0.6994841821688249
6843,122,1,5,0.332399231469733,0.2938615266388266,0.1346238407261336
2736,48,6,7,0.33238900674701277,0.29388553143241913,0.33651200409575044
4470,79,6,4,0.33225090716480754,0.2939245358435264,0.41121461732402625
3256,58,1,2,0.33225090716480754,0.2939405754750694,0.11428539364680411
166,2,7,5,0.3322361588136243,0.2939541143251979,0.7292462752886386
4315,77,0,4,0.3322361588136243,0.2939966083173857,0.36613373345948474
6514,116,2,5,0.3322361588136243,0.2939966250846746,0.6228817963765654
3321,59,2,4,0.3322361588136243,0.29401315296470776,0.39650980791525203
6896,123,1,2,0.33224491158392744,0.29401996914247547,0.15675890124253294
5947,106,1,5,0.33297420058862015,0.2940420895210074,0.42463782008378753
849,15,1,3,0.33297420058862015,0.29404921488811436,0.34973878617839066
2193,39,1,3,0.33297420058862015,0.2940571502615792,0.2594290362152118
8073,144,1,3,0.33297420058862015,0.29406799698927377,0.40105951371481974
1683,30,0,4,0.33292520216372135,0.29411128376074314,0.06093131273900608
5443,97,1,5,0.3328041751757743,0.29412236008408366,0.293825802350238
5448,97,2,3,0.33242671516608063,0.29414908753725993,0.36026268685482127
3975,70,7,6,0.33242671516608063,0.29415546771498113,0.5968854028518814
8179,146,0,4,0.33242671516608063,0.29415991767869454,0.23910590384478625
2763,49,2,6,0.33239747734588143,0.29419172424584406,0.414895788404426
3415,60,7,6,0.3320501468541086,0.29421843089235467,0.661555827840616
6451,115,1,5,0.33199747452718587,0.2942348212576755,0.5452475601132234
5934,105,7,5,0.33221536375500976,0.2942427443549456,0.46499119450719384
3824,68,2,3,0.33247690909929867,0.294282218841574,0.4016310577011277
408,7,2,3,0.3326341729726764,0.2943306477670231,0.40582230960042276
7716,137,6,2,0.3326341729726764,0.29435136481509766,0.40689420260436
3483,62,1,5,0.3326308281504281,0.2944387215918256,0.23974321485562852
5141,91,6,3,0.3328331120821666,0.29446175203240543,0.5400017781473919
410,7,2,5,0.3328331120821666,0.2944652976291856,0.3864932718985733
2411,43,0,4,0.3330572696534023,0.29449992458154767,0.515487674796507
4333,77,3,0,0.3330572696534023,0.2945458962694731,0.42789955228733534
793,14,1,3,0.3330572696534023,0.2945543890031218,0.08945474275684784
980,17,4,0,0.3330172675546019,0.294582803173048,0.436265671166903
294,5,2,0,0.3330172675546019,0.2945891345591575,0.42398397400947624
4361,77,7,0,0.3330172675546019,0.294601322764504,0.43739076552602607
1194,21,2,5,0.3332558048650094,0.29464105851467914,0.310301306021212
2871,51,2,1,0.33333790730611124,0.2946746952162859,0.3237717381375024
2545,45,3,5,0.33321636742692307,0.2946787141552992,0.4543902879941407
4434,79,1,4,0.33353680528122,0.29470788547504584,0.3946605392224158
1840,32,6,7,0.333804948070609,0.29480883216407505,0.39476868856813224
3826,68,2,5,0.333653503290548,0.29488926693669193,0.40093575637438567
1729,30,7,0,0.33449991296502346,0.2949476263763172,0.4940885407593768
4164,74,2,7,0.33452169770847523,0.29500268697162313,0.39963632005744765
326,5,6,4,0.3344425323061061,0.2950243970886085,0.4493434386498569
1811,32,2,6,0.33454469602556114,0.295050228691799,0.3162552235574327
126,2,2,0,0.3346355807480202,0.2951640450704098,0.5149187798348444
4907,87,5,0,0.3347347638300323,0.295193595767078,0.3532306187427663
4795,85,5,0,0.33462116526814734,0.29519926167607524,0.45670853013774143
1387,24,6,1,0.33462116526814734,0.29520022017326536,0.3791645270530838
1192,21,2,3,0.33462116526814734,0.29521860965117275,0.310301306021212
4781,85,3,0,0.33439800226247834,0.29527336626244666,0.45047127044569163
1801,32,1,3,0.33449299445841585,0.2953086949103638,0.24206713236656346
7019,125,2,6,0.33449299445841585,0.29531562053313193,0.2850717935602764
3210,57,2,5,0.33437779884651675,0.2953392972750558,0.547966557839191
2499,44,5,0,0.3344445454655602,0.29535173610752513,0.33683268546910744
347,6,1,5,0.3352133934991357,0.2954593397970994,0.4090282129930609
4438,79,2,0,0.3352336631102273,0.29551171125880893,0.346769312272715
1055,18,6,5,0.3352336631102273,0.2955194873030277,0.3072333531740972
2558,45,5,3,0.335206945468181,0.2955233559480655,0.45736260669072426
7690,137,2,5,0.3351331693669532,0.29554026731376143,0.3835436739980688
4477,79,7,4,0.3351331693669532,0.29556445327484926,0.65290517286774
1955,34,7,2,0.334852271181868,0.2956074917735615,0.4429724340801953
158,2,6,4,0.33518511899524805,0.2956468644989143,0.33735327725697606
3013,53,6,3,0.33518511899524805,0.2956488762815657,0.3427664353069392
4564,81,4,0,0.33518511899524805,0.29565645119118694,0.4006601067405517
683,12,1,5,0.33486759644139213,0.29568293040293114,0.1079245585252322
8296,148,1,2,0.33486759644139213,0.29568630646234034,0.33770050209257285
7210,128,6,0,0.33482090979295764,0.2956952215080492,0.49338728688510475
5441,97,1,3,0.3348237297527836,0.29571668969976317,0.20014479731883805
4638,82,6,4,0.3348237297527836,0.2957194885720096,0.3826363505896787
